,Zone,Année,Population,sous_nutrition,Année médiane,ratio_sous_nutrition_mondiale,Pourcentage_Sous_Nutrition,Proportion_sous_nutrition_par pays
60,États-Unis d'Amérique,2017-01-01,325084756.0,0.0,2017-01-01,7.1,0.0,0.0
62,Fédération de Russie,2017-01-01,145530082.0,0.0,2017-01-01,7.1,0.0,0.0
107,Macédoine du Nord,2017-01-01,2081996.0,0.0,2017-01-01,7.1,0.0,0.0
95,Kazakhstan,2017-01-01,18080019.0,0.0,2017-01-01,7.1,0.0,0.0
98,Kiribati,2017-01-01,114158.0,0.0,2017-01-01,7.1,0.0,0.0
99,Koweït,2017-01-01,4056099.0,0.0,2017-01-01,7.1,0.0,0.0
104,Libye,2017-01-01,6580724.0,0.0,2017-01-01,7.1,0.0,0.0
105,Lituanie,2017-01-01,2845414.0,0.0,2017-01-01,7.1,0.0,0.0
106,Luxembourg,2017-01-01,591910.0,0.0,2017-01-01,7.1,0.0,0.0
111,Maldives,2017-01-01,496402.0,0.0,2017-01-01,7.1,0.0,0.0
91,Italie,2017-01-01,60673701.0,0.0,2017-01-01,7.1,0.0,0.0
113,Malte,2017-01-01,437933.0000000001,0.0,2017-01-01,7.1,0.0,0.0
115,Maurice,2017-01-01,1264499.0,0.0,2017-01-01,7.1,0.0,0.0
118,Micronésie (États fédérés de),2017-01-01,111459.0,0.0,2017-01-01,7.1,0.0,0.0
120,Monténégro,2017-01-01,627563.0,0.0,2017-01-01,7.1,0.0,0.0
124,Nauru,2017-01-01,10573.0,0.0,2017-01-01,7.1,0.0,0.0
127,Niger,2017-01-01,21602382.0,0.0,2017-01-01,7.1,0.0,0.0
93,Japon,2017-01-01,127502725.0,0.0,2017-01-01,7.1,0.0,0.0
90,Israël,2017-01-01,8243848.0,0.0,2017-01-01,7.1,0.0,0.0
63,Fidji,2017-01-01,877459.0,0.0,2017-01-01,7.1,0.0,0.0
75,Guinée équatoriale,2017-01-01,1262002.0,0.0,2017-01-01,7.1,0.0,0.0
64,Finlande,2017-01-01,5511371.0,0.0,2017-01-01,7.1,0.0,0.0
65,France,2017-01-01,64842509.000000015,0.0,2017-01-01,7.1,0.0,0.0
70,Grèce,2017-01-01,10569450.0,0.0,2017-01-01,7.1,0.0,0.0
71,Grenade,2017-01-01,110874.0,0.0,2017-01-01,7.1,0.0,0.0
72,Groenland,2017-01-01,56481.0,0.0,2017-01-01,7.1,0.0,0.0
74,Guinée,2017-01-01,12067518.999999998,0.0,2017-01-01,7.1,0.0,0.0
76,Guinée-Bissau,2017-01-01,1828145.0,0.0,2017-01-01,7.1,0.0,0.0
89,Islande,2017-01-01,334393.00000000006,0.0,2017-01-01,7.1,0.0,0.0
77,Guyana,2017-01-01,775222.0,0.0,2017-01-01,7.1,0.0,0.0
80,Hongrie,2017-01-01,9729823.0,0.0,2017-01-01,7.1,0.0,0.0
81,Îles Cook,2017-01-01,17507.0,0.0,2017-01-01,7.1,0.0,0.0
82,Îles Marshall,2017-01-01,58058.0,0.0,2017-01-01,7.1,0.0,0.0
83,Îles Salomon,2017-01-01,636039.0,0.0,2017-01-01,7.1,0.0,0.0
88,Irlande,2017-01-01,4753279.0,0.0,2017-01-01,7.1,0.0,0.0
202,Zimbabwe,2017-01-01,14236595.0,0.0,2017-01-01,7.1,0.0,0.0
