Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","800","Ouganda","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","31593.34937","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","860","Ouzbékistan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","62081.322741","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","586","Pakistan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","337136.829493","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","585","Palaos","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","285.623531","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","275","Palestine","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","16128","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","591","Panama","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","62202.725204","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","598","Papouasie-Nouvelle-Guinée","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","22742.696403","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","600","Paraguay","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","38997.129809","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","528","Pays-Bas (Royaume des)","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","833869.641687","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","604","Pérou","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","211007.952316","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","608","Philippines","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","328480.738148","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","616","Pologne","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","524641.206562","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","258","Polynésie française","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","5833.352684","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","630","Porto Rico","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","103445.5","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","620","Portugal","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","221357.874719","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","634","Qatar","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","161099.122215","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","760","République arabe syrienne","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","16883.861331","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","140","République centrafricaine","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","2072.349974","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","410","République de Corée","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1623901.466309","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","498","République de Moldova","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","9669.741743","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","180","République démocratique du Congo","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","37642.464497","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","418","République démocratique populaire lao","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","17071.155481","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","214","République dominicaine","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","79998.045976","X","Ciffre de sources internationales",""
