Code Domaine,Domaine,Code zone (M49),Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Code Élément,Élément,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23014","Food price inflation","7006","Juin","6121","Valeur","%","1.847162","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23014","Food price inflation","7007","Juillet","6121","Valeur","%","-0.115799","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23014","Food price inflation","7008","Août","6121","Valeur","%","3.493406","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23014","Food price inflation","7009","Septembre","6121","Valeur","%","5.254969","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23014","Food price inflation","7010","Octobre","6121","Valeur","%","8.300537","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23014","Food price inflation","7011","Novembre","6121","Valeur","%","5.164835","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","012","Algérie","2017","2017","23014","Food price inflation","7012","Décembre","6121","Valeur","%","5.292562","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","012","Algérie","2023","2023","23014","Food price inflation","7001","Janvier","6121","Valeur","%","13.728511","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","012","Algérie","2023","2023","23014","Food price inflation","7002","Février","6121","Valeur","%","15.043643","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","012","Algérie","2023","2023","23014","Food price inflation","7003","Mars","6121","Valeur","%","14.943733","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","012","Algérie","2023","2023","23014","Food price inflation","7004","Avril","6121","Valeur","%","14.060931","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","012","Algérie","2023","2023","23014","Food price inflation","7005","Mai","6121","Valeur","%","14.773588","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","012","Algérie","2023","2023","23014","Food price inflation","7006","Juin","6121","Valeur","%","12.390938","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","012","Algérie","2023","2023","23014","Food price inflation","7007","Juillet","6121","Valeur","%","13.193277","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","012","Algérie","2023","2023","23014","Food price inflation","7008","Août","6121","Valeur","%","13.935213","E","Valeur estimée",""
