Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","400","Jordanie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.288","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","398","Kazakhstan","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.672","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","404","Kenya","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.935","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","417","Kirghizistan","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.796","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","414","Koweït","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.024","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","426","Lesotho","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.172","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","428","Lettonie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.794","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","430","Libéria","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.685","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","440","Lituanie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.702","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","442","Luxembourg","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.656","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","807","Macédoine du Nord","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.949","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","450","Madagascar","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.02","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","458","Malaisie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.83","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","454","Malawi","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.085","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","462","Maldives","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.906","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","466","Mali","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.003","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","470","Malte","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.795","E","Valeur estimée"
